time	I(R9)
1.096051860396405e-02	5.534779e-03
1.099958110396405e-02	5.534780e-03
1.103864360396405e-02	5.534780e-03
1.105817485396405e-02	5.534780e-03
1.115583110396405e-02	5.534779e-03
1.125348735396404e-02	5.534778e-03
1.135114360396404e-02	5.534778e-03
1.144879985396404e-02	5.534777e-03
1.154645610396404e-02	5.534777e-03
1.164411235396404e-02	5.534776e-03
1.174176860396403e-02	5.534776e-03
1.496442485396396e-02	5.534759e-03
1.498056875000000e-02	5.534752e-03
1.498086875000000e-02	5.534760e-03
1.498126875000000e-02	5.534758e-03
1.498593824471836e-02	5.534758e-03
1.499127481011077e-02	5.534762e-03
1.499157481011077e-02	5.534758e-03
1.499700000000002e-02	5.534759e-03
1.499760000000001e-02	5.534758e-03
1.499840000000001e-02	5.534759e-03
1.500000000000000e-02	5.534758e-03
1.500010000000000e-02	5.534753e-03
1.500010783173021e-02	5.537459e-03
1.500012349519063e-02	5.541248e-03
1.500015482211146e-02	5.545990e-03
1.500016723895919e-02	5.547513e-03
1.500017516630454e-02	5.548458e-03
1.500018414530931e-02	5.549527e-03
1.500020000000000e-02	5.551416e-03
1.500020158546907e-02	5.550839e-03
1.500020475640721e-02	5.549859e-03
1.500021109828348e-02	5.548657e-03
1.500022378203604e-02	5.547687e-03
1.500024576359485e-02	5.547248e-03
1.500027473993364e-02	5.547086e-03
1.500044074523092e-02	5.545753e-03
1.500066208562728e-02	5.542383e-03
1.500110476642001e-02	5.530441e-03
1.500199012800546e-02	5.488965e-03
1.500357510136875e-02	5.376137e-03
1.500521608963673e-02	5.220314e-03
1.500740530142329e-02	4.977575e-03
1.501023034559507e-02	4.664080e-03
1.501346070913113e-02	4.354536e-03
1.501609191582043e-02	4.171909e-03
1.501834146859554e-02	4.086867e-03
1.502077408548215e-02	4.067695e-03
1.502314797854440e-02	4.113786e-03
1.502665158058304e-02	4.257546e-03
1.503100823087874e-02	4.478765e-03
1.503473774107440e-02	4.655506e-03
1.503748061418852e-02	4.746095e-03
1.503997488229407e-02	4.782347e-03
1.504232250691459e-02	4.775953e-03
1.504478253203471e-02	4.734933e-03
1.504722737243811e-02	4.671620e-03
1.504995217486951e-02	4.590708e-03
1.505265702026235e-02	4.514441e-03
1.505506213503380e-02	4.460031e-03
1.505750632335179e-02	4.423818e-03
1.505980779639484e-02	4.410752e-03
1.506312848415962e-02	4.422188e-03
1.506682130068602e-02	4.461160e-03
1.507206083478580e-02	4.532514e-03
1.507599944892405e-02	4.577700e-03
1.507930422409517e-02	4.597321e-03
1.508279553549084e-02	4.595982e-03
1.508704995886466e-02	4.573931e-03
1.509111384688396e-02	4.544905e-03
1.509619657438943e-02	4.514483e-03
1.510080739629815e-02	4.503159e-03
1.510602724505783e-02	4.510162e-03
1.511127057406064e-02	4.527113e-03
1.511903639615542e-02	4.548336e-03
1.512447888204086e-02	4.551272e-03
1.513041213349542e-02	4.542673e-03
1.513689579888307e-02	4.531180e-03
1.514347840023413e-02	4.526302e-03
1.515103413879727e-02	4.530116e-03
1.515922669675068e-02	4.536891e-03
1.516852340275790e-02	4.538916e-03
1.517875651193098e-02	4.535216e-03
1.518942620715964e-02	4.532626e-03
1.520091900844594e-02	4.534220e-03
1.521443991093988e-02	4.536025e-03
1.523016926211728e-02	4.534967e-03
1.524695988427192e-02	4.534299e-03
1.526649113427192e-02	4.535179e-03
1.528602238427192e-02	4.535034e-03
1.530555363427192e-02	4.534619e-03
1.532508488427192e-02	4.535022e-03
1.534461613427192e-02	4.535007e-03
1.536414738427192e-02	4.534745e-03
1.538367863427192e-02	4.534947e-03
1.540320988427192e-02	4.534977e-03
1.542274113427191e-02	4.534818e-03
1.544227238427191e-02	4.534914e-03
1.546180363427191e-02	4.534951e-03
1.548133488427191e-02	4.534859e-03
1.550086613427191e-02	4.534901e-03
1.552039738427191e-02	4.534933e-03
1.553992863427191e-02	4.534881e-03
1.555945988427191e-02	4.534897e-03
1.557899113427191e-02	4.534921e-03
1.559852238427191e-02	4.534892e-03
1.561805363427191e-02	4.534897e-03
1.563758488427191e-02	4.534913e-03
1.565711613427191e-02	4.534898e-03
1.567664738427191e-02	4.534898e-03
1.569617863427191e-02	4.534908e-03
1.571570988427191e-02	4.534901e-03
1.573524113427191e-02	4.534900e-03
1.575477238427191e-02	4.534906e-03
1.577430363427191e-02	4.534902e-03
1.579383488427191e-02	4.534901e-03
1.581336613427191e-02	4.534904e-03
1.583289738427191e-02	4.534903e-03
1.585242863427191e-02	4.534901e-03
1.587195988427191e-02	4.534903e-03
1.589149113427191e-02	4.534903e-03
1.591102238427191e-02	4.534902e-03
1.593055363427191e-02	4.534903e-03
1.595008488427191e-02	4.534903e-03
1.598914738427190e-02	4.534903e-03
1.600867863427190e-02	4.534903e-03
1.610075452712904e-02	4.534903e-03
1.619283041998619e-02	4.534903e-03
1.628490631284333e-02	4.534903e-03
1.637698220570047e-02	4.534903e-03
1.646905809855761e-02	4.534903e-03
1.656113399141475e-02	4.534903e-03
1.665320988427189e-02	4.534903e-03
1.999990000000000e-02	4.534903e-03
2.000000000000000e-02	4.534903e-03
